# 1.This file shows the parsed IR info when graph evaluating failed to help find the problem.
# 2.You can search the last `------------------------>` to the node which is inferred failed.
# 3.Refer to https://www.mindspore.cn/search?inputValue=analyze_fail.dat to get more instructions.
# ===============================================================================

# [No.1] construct_wrapper.42
# In file /home/hjh/.conda/envs/md17/lib/python3.9/site-packages/mindspore/nn/wrap/loss_scale.py(330)/    def construct(self, *inputs):/
funcgraph fg_42(
        %para1 : Tensor(F32)[3, 40960, 6]    # inputs0
        , %para2 : Tensor(I32)[3, 40960]    # inputs1
        , %para3 : Tensor(I32)[3, 40960]    # inputs2
        , %para4 : Tensor(I32)[3, 1]    # inputs3
        , %para5 : Tensor(F32)[3, 40960, 3]    # inputs4
        , %para6 : Tensor(F32)[3, 10240, 3]    # inputs5
        , %para7 : Tensor(F32)[3, 2560, 3]    # inputs6
        , %para8 : Tensor(F32)[3, 640, 3]    # inputs7
        , %para9 : Tensor(F32)[3, 160, 3]    # inputs8
        , %para10 : Tensor(I32)[3, 40960, 16]    # inputs9
        , %para11 : Tensor(I32)[3, 10240, 16]    # inputs10
        , %para12 : Tensor(I32)[3, 2560, 16]    # inputs11
        , %para13 : Tensor(I32)[3, 640, 16]    # inputs12
        , %para14 : Tensor(I32)[3, 160, 16]    # inputs13
        , %para15 : Tensor(I32)[3, 10240, 16]    # inputs14
        , %para16 : Tensor(I32)[3, 2560, 16]    # inputs15
        , %para17 : Tensor(I32)[3, 640, 16]    # inputs16
        , %para18 : Tensor(I32)[3, 160, 16]    # inputs17
        , %para19 : Tensor(I32)[3, 80, 16]    # inputs18
        , %para20 : Tensor(I32)[3, 40960, 1]    # inputs19
        , %para21 : Tensor(I32)[3, 10240, 1]    # inputs20
        , %para22 : Tensor(I32)[3, 2560, 1]    # inputs21
        , %para23 : Tensor(I32)[3, 640, 1]    # inputs22
        , %para24 : Tensor(I32)[3, 160, 1]    # inputs23
        , %para25 : Ref[Tensor(F32)][]    # scale_sense
        , %para26 : Ref[Tensor(F32)][8]    # network.fc_start.bias
        , %para27 : Ref[Tensor(F32)][8]    # network.bn_start.0.gamma
        , %para28 : Ref[Tensor(F32)][8]    # network.bn_start.0.beta
        , %para29 : Ref[Tensor(F32)][8]    # network.encoder.0.mlp1.conv.bias
        , %para30 : Ref[Tensor(F32)][8]    # network.encoder.0.mlp1.batch_norm.gamma
        , %para31 : Ref[Tensor(F32)][8]    # network.encoder.0.mlp1.batch_norm.beta
        , %para32 : Ref[Tensor(F32)][32]    # network.encoder.0.mlp2.conv.bias
        , %para33 : Ref[Tensor(F32)][32]    # network.encoder.0.mlp2.batch_norm.gamma
        , %para34 : Ref[Tensor(F32)][32]    # network.encoder.0.mlp2.batch_norm.beta
        , %para35 : Ref[Tensor(F32)][32]    # network.encoder.0.shortcut.conv.bias
        , %para36 : Ref[Tensor(F32)][32]    # network.encoder.0.shortcut.batch_norm.gamma
        , %para37 : Ref[Tensor(F32)][32]    # network.encoder.0.shortcut.batch_norm.beta
        , %para38 : Ref[Tensor(F32)][8]    # network.encoder.0.lse1.mlp.conv.bias
        , %para39 : Ref[Tensor(F32)][8]    # network.encoder.0.lse1.mlp.batch_norm.gamma
        , %para40 : Ref[Tensor(F32)][8]    # network.encoder.0.lse1.mlp.batch_norm.beta
        , %para41 : Ref[Tensor(F32)][8]    # network.encoder.0.lse2.mlp.conv.bias
        , %para42 : Ref[Tensor(F32)][8]    # network.encoder.0.lse2.mlp.batch_norm.gamma
        , %para43 : Ref[Tensor(F32)][8]    # network.encoder.0.lse2.mlp.batch_norm.beta
        , %para44 : Ref[Tensor(F32)][8]    # network.encoder.0.pool1.mlp.conv.bias
        , %para45 : Ref[Tensor(F32)][8]    # network.encoder.0.pool1.mlp.batch_norm.gamma
        , %para46 : Ref[Tensor(F32)][8]    # network.encoder.0.pool1.mlp.batch_norm.beta
        , %para47 : Ref[Tensor(F32)][16]    # network.encoder.0.pool2.mlp.conv.bias
        , %para48 : Ref[Tensor(F32)][16]    # network.encoder.0.pool2.mlp.batch_norm.gamma
        , %para49 : Ref[Tensor(F32)][16]    # network.encoder.0.pool2.mlp.batch_norm.beta
        , %para50 : Ref[Tensor(F32)][32]    # network.encoder.1.mlp1.conv.bias
        , %para51 : Ref[Tensor(F32)][32]    # network.encoder.1.mlp1.batch_norm.gamma
        , %para52 : Ref[Tensor(F32)][32]    # network.encoder.1.mlp1.batch_norm.beta
        , %para53 : Ref[Tensor(F32)][128]    # network.encoder.1.mlp2.conv.bias
        , %para54 : Ref[Tensor(F32)][128]    # network.encoder.1.mlp2.batch_norm.gamma
        , %para55 : Ref[Tensor(F32)][128]    # network.encoder.1.mlp2.batch_norm.beta
        , %para56 : Ref[Tensor(F32)][128]    # network.encoder.1.shortcut.conv.bias
        , %para57 : Ref[Tensor(F32)][128]    # network.encoder.1.shortcut.batch_norm.gamma
        , %para58 : Ref[Tensor(F32)][128]    # network.encoder.1.shortcut.batch_norm.beta
        , %para59 : Ref[Tensor(F32)][32]    # network.encoder.1.lse1.mlp.conv.bias
        , %para60 : Ref[Tensor(F32)][32]    # network.encoder.1.lse1.mlp.batch_norm.gamma
        , %para61 : Ref[Tensor(F32)][32]    # network.encoder.1.lse1.mlp.batch_norm.beta
        , %para62 : Ref[Tensor(F32)][32]    # network.encoder.1.lse2.mlp.conv.bias
        , %para63 : Ref[Tensor(F32)][32]    # network.encoder.1.lse2.mlp.batch_norm.gamma
        , %para64 : Ref[Tensor(F32)][32]    # network.encoder.1.lse2.mlp.batch_norm.beta
        , %para65 : Ref[Tensor(F32)][32]    # network.encoder.1.pool1.mlp.conv.bias
        , %para66 : Ref[Tensor(F32)][32]    # network.encoder.1.pool1.mlp.batch_norm.gamma
        , %para67 : Ref[Tensor(F32)][32]    # network.encoder.1.pool1.mlp.batch_norm.beta
        , %para68 : Ref[Tensor(F32)][64]    # network.encoder.1.pool2.mlp.conv.bias
        , %para69 : Ref[Tensor(F32)][64]    # network.encoder.1.pool2.mlp.batch_norm.gamma
        , %para70 : Ref[Tensor(F32)][64]    # network.encoder.1.pool2.mlp.batch_norm.beta
        , %para71 : Ref[Tensor(F32)][64]    # network.encoder.2.mlp1.conv.bias
        , %para72 : Ref[Tensor(F32)][64]    # network.encoder.2.mlp1.batch_norm.gamma
        , %para73 : Ref[Tensor(F32)][64]    # network.encoder.2.mlp1.batch_norm.beta
        , %para74 : Ref[Tensor(F32)][256]    # network.encoder.2.mlp2.conv.bias
        , %para75 : Ref[Tensor(F32)][256]    # network.encoder.2.mlp2.batch_norm.gamma
        , %para76 : Ref[Tensor(F32)][256]    # network.encoder.2.mlp2.batch_norm.beta
        , %para77 : Ref[Tensor(F32)][256]    # network.encoder.2.shortcut.conv.bias
        , %para78 : Ref[Tensor(F32)][256]    # network.encoder.2.shortcut.batch_norm.gamma
        , %para79 : Ref[Tensor(F32)][256]    # network.encoder.2.shortcut.batch_norm.beta
        , %para80 : Ref[Tensor(F32)][64]    # network.encoder.2.lse1.mlp.conv.bias
        , %para81 : Ref[Tensor(F32)][64]    # network.encoder.2.lse1.mlp.batch_norm.gamma
        , %para82 : Ref[Tensor(F32)][64]    # network.encoder.2.lse1.mlp.batch_norm.beta
